   1.050000         nan
   1.150000    3.785863
   1.250000    4.130188
   1.350000    4.142708
   1.450000    4.966691
   1.550000   13.358752
   1.650000    8.248207
   1.750000   12.988735
   1.850000   13.091277
   1.950000   13.460670
   2.050000   13.790971
   2.150000   13.813462
   2.250000   13.795032
   2.350000   13.757254
   2.450000   13.724552
   2.550000   13.564969
   2.650000   13.423680
   2.750000   13.216902
   2.850000   13.084041
   2.950000   12.796620
   3.050000   12.517735
   3.150000   12.312228
   3.250000   11.983988
   3.350000   11.670688
   3.450000   11.410871
   3.550000   11.140625
   3.650000   10.729034
   3.750000   10.100357
   3.850000    9.640177
   3.950000    9.187716
   4.050000    8.892251
   4.150000    8.667488
   4.250000    8.376583
   4.350000    7.779865
   4.450000    7.189832
   4.550000    6.711729
   4.650000    6.180529
   4.750000    5.658977
   4.850000    5.346518
   4.950000    5.054399
   5.050000    4.811823
   5.150000    4.611631
   5.250000    4.440361
   5.350000    4.241055
   5.450000    4.084891
   5.550000    3.971598
   5.650000    3.786722
   5.750000    3.702468
   5.850000    3.720556
