2.00 2.10   14.321629    0.041667    1.103474   -1.435719    0.083333    0.960960   -0.149480    0.125000    0.540647   -2.827476    0.166667    0.288604    0.257116    0.208333    0.569539    0.392494    0.250000    0.219711    2.740734
2.01 2.11   14.315099    0.041667    1.173637   -1.387287    0.083333    0.885041   -0.095563    0.125000    0.487768   -2.894808    0.166667    0.294273    0.122332    0.208333    0.526105    0.460673    0.250000    0.214107    2.368911
2.02 2.12   14.308438    0.041667    1.217703   -1.399402    0.083333    0.901943   -0.084651    0.125000    0.402722   -2.939534    0.166667    0.256010   -0.114999    0.208333    0.517064    0.477968    0.250000    0.244622    2.212490
2.03 2.13   14.301644    0.041667    1.260646   -1.468953    0.083333    0.875732   -0.094931    0.125000    0.351818   -2.960371    0.166667    0.225778   -0.298409    0.208333    0.496621    0.536089    0.250000    0.251385    2.165343
2.04 2.14   14.294713    0.041667    1.287025   -1.452111    0.083333    0.861288   -0.073051    0.125000    0.337313   -3.027548    0.166667    0.241260   -0.297066    0.208333    0.462903    0.604153    0.250000    0.260712    2.044262
2.05 2.15   14.287645    0.041667    1.285151   -1.475260    0.083333    0.867941   -0.079712    0.125000    0.306635   -3.074735    0.166667    0.198254   -0.334776    0.208333    0.427974    0.630248    0.250000    0.262958    1.938804
2.06 2.16   14.280436    0.041667    1.328243   -1.483798    0.083333    0.867153   -0.050170    0.125000    0.303438   -3.033060    0.166667    0.203772   -0.612680    0.208333    0.454767    0.688308    0.250000    0.263718    1.885651
2.07 2.17   14.273083    0.041667    1.318006   -1.476674    0.083333    0.845325    0.002420    0.125000    0.308328   -3.062306    0.166667    0.189032   -0.618015    0.208333    0.464608    0.724383    0.250000    0.262299    1.831280
2.08 2.18   14.265583    0.041667    1.334616   -1.446924    0.083333    0.807664   -0.023685    0.125000    0.273654   -3.185533    0.166667    0.221161   -0.513358    0.208333    0.482731    0.798194    0.250000    0.278469    1.950069
2.09 2.19   14.257935    0.041667    1.344201   -1.465248    0.083333    0.786451   -0.016775    0.125000    0.234983   -3.230763    0.166667    0.208234   -0.650183    0.208333    0.463318    0.742679    0.250000    0.289543    1.906982
2.10 2.20   14.250136    0.041667    1.329955   -1.468088    0.083333    0.747955    0.050326    0.125000    0.283020   -3.123287    0.166667    0.234314   -0.811430    0.208333    0.486281    0.701316    0.250000    0.309135    1.904897
2.11 2.21   14.242182    0.041667    1.313360   -1.474702    0.083333    0.764873    0.083362    0.125000    0.306507   -3.099575    0.166667    0.225630   -0.910366    0.208333    0.505598    0.757339    0.250000    0.262923    1.937602
2.12 2.22   14.234070    0.041667    1.301809   -1.469886    0.083333    0.730096    0.052584    0.125000    0.281810   -3.079756    0.166667    0.199266   -0.826987    0.208333    0.484624    0.772468    0.250000    0.241612    1.888397
2.13 2.23   14.225799    0.041667    1.302016   -1.430676    0.083333    0.716485    0.121299    0.125000    0.290812   -3.008207    0.166667    0.207755   -0.980194    0.208333    0.488238    0.689876    0.250000    0.228835    1.916885
